model,n_estimators,max_samples,n_neighbors,nu,gamma,threshold_percentile,threshold,pred_normal,pred_anomaly,precision,recall,f1,auroc,auprc
LocalOutlierFactor,,,10.0,,,1,-9.774377822875977,4149,961,0.8303850156087409,0.9649334945586457,0.8926174496644296,0.9570806774963927,0.9082543668080075
LocalOutlierFactor,,,50.0,,,1,-5.1681413650512695,4084,1026,0.8060428849902534,1.0,0.8926065839179709,0.9926988422776586,0.9433627828469002
LocalOutlierFactor,,,100.0,,,1,-4.652288913726807,4084,1026,0.8060428849902534,1.0,0.8926065839179709,0.9930991764352812,0.945963582036662
LocalOutlierFactor,,,20.0,,,1,-8.972894668579102,4098,1012,0.8092885375494071,0.9903264812575574,0.8907014681892332,0.9831407936836417,0.9354569053400125
OneClassSVM,,,,0.05,0.1,1,-0.06517214452651868,4040,1070,0.7728971962616823,1.0,0.8719030047443331,0.9971846740339823,0.9768223092254805
OneClassSVM,,,,0.1,0.1,1,-0.15501735657799004,4029,1081,0.7650323774283071,1.0,0.8668763102725366,0.997184674033982,0.976822306558048
OneClassSVM,,,,0.03,0.1,1,-0.030619840632036776,4028,1082,0.7643253234750462,1.0,0.8664222105814563,0.9971846740339821,0.9768223061690084
OneClassSVM,,,,0.01,0.1,1,-0.005648344089110147,4009,1101,0.7511353315168029,1.0,0.8578838174273858,0.9971406316301815,0.9761460835645259
LocalOutlierFactor,,,20.0,,,3,-8.144261360168457,3961,1149,0.7127937336814621,0.9903264812575574,0.8289473684210527,0.9831407936836417,0.9354569053400125
LocalOutlierFactor,,,50.0,,,3,-4.4803314208984375,3860,1250,0.6616,1.0,0.7963408762638421,0.9926988422776586,0.9433627828469002
LocalOutlierFactor,,,100.0,,,3,-4.065039157867432,3800,1310,0.6312977099236641,1.0,0.7739822180627047,0.9930991764352812,0.945963582036662
OneClassSVM,,,,0.03,scale,7,0.1690327658217136,4461,649,0.8721109399075501,0.6844014510278114,0.7669376693766937,0.8714512339072304,0.7608349870050519
