method,generated_anomaly_used,threshold_selection,threshold_selected_on_real_validation,validation_precision,validation_recall,validation_f1,precision,recall,f1,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly,n_estimators,max_depth,min_samples_leaf,max_features,class_weight
Diffusion,1000,Best F1 on real validation_windows only.,0.8499999999999999,1.0,0.7439024390243902,0.8531468531468531,1.0,0.8547297297297297,0.9216757741347905,0.9968114658644283,0.980422355921199,2828,253,2785,296,500,,1,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7999999999999999,0.9477611940298507,0.774390243902439,0.8523489932885906,0.9387755102040817,0.9324324324324325,0.9355932203389831,0.9968326944538793,0.9809651327228878,2787,294,2785,296,500,20.0,1,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.83,0.991869918699187,0.7439024390243902,0.8501742160278746,0.9776119402985075,0.8851351351351351,0.9290780141843972,0.996554296666505,0.9784919654480595,2813,268,2785,296,300,,1,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.82,1.0,0.7378048780487805,0.8491228070175438,0.9910313901345291,0.7466216216216216,0.8516377649325626,0.9947862584307827,0.9630926719437032,2858,223,2785,296,300,,2,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.83,0.9838709677419355,0.7439024390243902,0.8472222222222222,0.9923076923076923,0.8716216216216216,0.9280575539568345,0.9964560386239021,0.9786078788089614,2821,260,2785,296,300,20.0,1,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8099999999999999,0.9918032786885246,0.7378048780487805,0.8461538461538461,0.9705882352941176,0.7804054054054054,0.8651685393258427,0.9949670047066815,0.9640895831309626,2843,238,2785,296,300,20.0,2,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8099999999999999,0.9918032786885246,0.7378048780487805,0.8461538461538461,0.9669421487603306,0.7905405405405406,0.8698884758364313,0.9943980785093891,0.9603888841984504,2839,242,2785,296,500,20.0,2,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8099999999999999,0.983739837398374,0.7378048780487805,0.8432055749128919,0.9715447154471545,0.8074324324324325,0.8819188191881919,0.9944271920034937,0.9610308343633851,2835,246,2785,296,500,,2,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9917355371900827,0.7317073170731707,0.8421052631578947,0.961864406779661,0.7668918918918919,0.8533834586466166,0.9889405114270464,0.9355102099006087,2845,236,2785,296,500,12.0,1,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9836065573770492,0.7317073170731707,0.8391608391608392,0.9753086419753086,0.8006756756756757,0.8794063079777366,0.9899964821194625,0.9458944091363288,2838,243,2785,296,500,,1,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9836065573770492,0.7317073170731707,0.8391608391608392,0.983402489626556,0.8006756756756757,0.88268156424581,0.9897914745984764,0.9451389604582809,2840,241,2785,296,500,20.0,1,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9916666666666667,0.725609756097561,0.8380281690140845,0.9552845528455285,0.793918918918919,0.8671586715867159,0.9887270124702799,0.9394913219347585,2835,246,2785,296,300,20.0,1,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8499999999999999,0.9603174603174603,0.7378048780487805,0.8344827586206897,0.9362549800796812,0.793918918918919,0.8592321755027422,0.9889829686059489,0.9350164649278245,2830,251,2785,296,300,12.0,1,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.9915966386554622,0.7195121951219512,0.833922261484099,0.9786324786324786,0.7736486486486487,0.8641509433962264,0.9888155660148479,0.9387114925856056,2847,234,2785,296,300,,1,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9754098360655737,0.725609756097561,0.8321678321678322,0.9531914893617022,0.7567567567567568,0.8436911487758946,0.9881750691445486,0.9302105251311373,2846,235,2785,296,300,12.0,1,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.9833333333333333,0.7195121951219512,0.8309859154929577,0.9789915966386554,0.7871621621621622,0.8726591760299626,0.9890454413120481,0.9416512194758477,2843,238,2785,296,500,20.0,1,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.96,0.7317073170731707,0.8304498269896193,0.9306122448979591,0.7702702702702703,0.8428835489833642,0.9886287544276771,0.9321618916597987,2836,245,2785,296,500,12.0,1,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9915254237288136,0.7134146341463414,0.8297872340425532,0.9713114754098361,0.8006756756756757,0.8777777777777778,0.9892650055800863,0.9416147783275336,2837,244,2785,296,300,,1,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.967479674796748,0.725609756097561,0.8292682926829268,0.9596774193548387,0.8040540540540541,0.875,0.9893371827842204,0.9428771927428038,2833,248,2785,296,500,,1,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.7999999999999999,0.9448818897637795,0.7317073170731707,0.8247422680412371,0.9645669291338582,0.8277027027027027,0.8909090909090909,0.9959131932650783,0.9701674122705057,2827,254,2785,296,300,12.0,1,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7999999999999999,0.9448818897637795,0.7317073170731707,0.8247422680412371,0.9641434262948207,0.8175675675675675,0.8848263254113345,0.9958331311562909,0.9699821406140197,2830,251,2785,296,500,12.0,1,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.975,0.7134146341463414,0.823943661971831,0.9634146341463414,0.8006756756756757,0.8745387453874539,0.9890624241836091,0.9409618464393089,2835,246,2785,296,300,20.0,1,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9512195121951219,0.7134146341463414,0.8153310104529616,0.8898678414096917,0.6824324324324325,0.7724665391969407,0.982205589790868,0.8851909737741429,2854,227,2785,296,300,12.0,2,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9512195121951219,0.7134146341463414,0.8153310104529616,0.9196428571428571,0.6959459459459459,0.7923076923076923,0.9850708428356543,0.9062086005893932,2857,224,2785,296,500,,2,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9435483870967742,0.7134146341463414,0.8125,0.9196428571428571,0.6959459459459459,0.7923076923076923,0.9850999563297589,0.9063832585808913,2857,224,2785,296,500,20.0,2,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.9826086956521739,0.6890243902439024,0.8100358422939068,0.945,0.6385135135135135,0.7620967741935484,0.9812302877383667,0.8803722198215451,2881,200,2785,296,500,12.0,2,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.9583333333333334,0.7012195121951219,0.8098591549295775,0.9356435643564357,0.6385135135135135,0.7590361445783133,0.9807026056577224,0.8788682271721695,2879,202,2785,296,300,12.0,2,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9504132231404959,0.7012195121951219,0.8070175438596491,0.9095022624434389,0.6790540540540541,0.7775628626692457,0.9833555728079963,0.8961962178565834,2860,221,2785,296,300,,2,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9354838709677419,0.7073170731707317,0.8055555555555556,0.8928571428571429,0.6756756756756757,0.7692307692307693,0.9824736765490805,0.8869325693008623,2857,224,2785,296,500,12.0,2,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.9349593495934959,0.7012195121951219,0.8013937282229965,0.9140271493212669,0.6824324324324325,0.781431334622824,0.9831942355281672,0.8948489125639002,2860,221,2785,296,300,20.0,2,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.8872180451127819,0.7195121951219512,0.7946127946127947,0.8506224066390041,0.6925675675675675,0.7635009310986964,0.9817058081420739,0.8826902634843211,2840,241,2785,296,500,20.0,2,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.9338842975206612,0.6890243902439024,0.7929824561403509,0.923469387755102,0.6114864864864865,0.7357723577235772,0.9796326847493813,0.8717879390344964,2885,196,2785,296,300,20.0,2,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.8805970149253731,0.7195121951219512,0.7919463087248322,0.8477366255144033,0.6959459459459459,0.764378478664193,0.9816160415352516,0.8819830335909521,2838,243,2785,296,500,,2,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.7999999999999999,0.9649122807017544,0.6707317073170732,0.7913669064748201,0.9468599033816425,0.6621621621621622,0.7793240556660039,0.9904895919258576,0.9267127461042796,2874,207,2785,296,500,12.0,2,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8799999999999999,0.9333333333333333,0.6829268292682927,0.7887323943661971,0.923469387755102,0.6114864864864865,0.7357723577235772,0.9795392789557961,0.870843944834655,2885,196,2785,296,300,,2,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8099999999999999,1.0,0.6463414634146342,0.7851851851851852,0.9578947368421052,0.6148648648648649,0.7489711934156379,0.9900177107089136,0.9228713341285656,2891,190,2785,296,300,12.0,2,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7799999999999999,0.8416666666666667,0.6158536585365854,0.7112676056338029,0.7383177570093458,0.5337837837837838,0.6196078431372549,0.946776893590179,0.7233621566302437,2867,214,2785,296,300,20.0,5,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7799999999999999,0.8403361344537815,0.6097560975609756,0.7067137809187279,0.7383177570093458,0.5337837837837838,0.6196078431372549,0.9469455092435344,0.7229465129783972,2867,214,2785,296,300,,5,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7699999999999999,0.8278688524590164,0.6158536585365854,0.7062937062937062,0.728110599078341,0.5337837837837838,0.6159844054580896,0.9448469115435003,0.7129934891706919,2864,217,2785,296,300,12.0,5,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7999999999999999,0.8715596330275229,0.5792682926829268,0.6959706959706959,0.783068783068783,0.5,0.6103092783505155,0.946209180455141,0.72340538195354,2892,189,2785,296,500,20.0,5,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7999999999999999,0.8785046728971962,0.573170731707317,0.6937269372693727,0.783068783068783,0.5,0.6103092783505155,0.9462601290698239,0.7231188636345657,2892,189,2785,296,500,,5,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.7699999999999999,0.7936507936507936,0.6097560975609756,0.6896551724137931,0.6916299559471366,0.5304054054054054,0.6003824091778203,0.9442367412295599,0.7079629118625654,2854,227,2785,296,500,12.0,5,sqrt,"{0: 1, 1: 2}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.7933884297520661,0.5853658536585366,0.6736842105263158,0.6863636363636364,0.5101351351351351,0.5852713178294574,0.9357853365034693,0.6917335744788826,2861,220,2785,296,500,,5,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.7933884297520661,0.5853658536585366,0.6736842105263158,0.6915887850467289,0.5,0.5803921568627451,0.9355087583094764,0.6910907897621218,2867,214,2785,296,500,12.0,5,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.7933884297520661,0.5853658536585366,0.6736842105263158,0.6863636363636364,0.5101351351351351,0.5852713178294574,0.9357853365034693,0.6917335744788826,2861,220,2785,296,500,20.0,5,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.8979591836734694,0.5365853658536586,0.6717557251908397,0.8022598870056498,0.4797297297297297,0.6004228329809725,0.9328448735989131,0.6804315672090974,2904,177,2785,296,300,12.0,5,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.7983193277310925,0.5792682926829268,0.6713780918727915,0.6651982378854625,0.5101351351351351,0.5774378585086042,0.9323244698917948,0.6772432023289376,2854,227,2785,296,500,,5,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.7983193277310925,0.5792682926829268,0.6713780918727915,0.6651982378854625,0.5101351351351351,0.5774378585086042,0.9323244698917948,0.6772432023289376,2854,227,2785,296,500,20.0,5,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.8034188034188035,0.573170731707317,0.6690391459074733,0.6860986547085202,0.5168918918918919,0.5895953757225434,0.9324579067397739,0.6780398058368023,2858,223,2785,296,300,,5,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8599999999999999,0.8034188034188035,0.573170731707317,0.6690391459074733,0.6860986547085202,0.5168918918918919,0.5895953757225434,0.9324579067397739,0.6780398058368023,2858,223,2785,296,300,20.0,5,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.8490566037735849,0.5487804878048781,0.6666666666666666,0.7634408602150538,0.4797297297297297,0.5892116182572614,0.9324688243000632,0.6772668366154546,2895,186,2785,296,500,12.0,5,sqrt,"{0: 1, 1: 4}"
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.8712871287128713,0.5365853658536586,0.6641509433962264,0.7803468208092486,0.4560810810810811,0.5756929637526652,0.9331845310301324,0.6846453847589746,2908,173,2785,296,300,12.0,5,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.822429906542056,0.5365853658536586,0.6494464944649446,0.7679558011049724,0.46959459459459457,0.5828092243186582,0.932988014944927,0.6844294151535992,2900,181,2785,296,300,,5,sqrt,balanced_subsample
Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.822429906542056,0.5365853658536586,0.6494464944649446,0.7679558011049724,0.46959459459459457,0.5828092243186582,0.932988014944927,0.6844294151535992,2900,181,2785,296,300,20.0,5,sqrt,balanced_subsample
