method,generated_anomaly_used,threshold_selection,threshold_selected_on_real_validation,validation_precision,validation_recall,validation_f1,precision,recall,f1,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly,n_estimators,max_depth,min_samples_leaf,max_features,class_weight
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.83,0.9185185185185185,0.7560975609756098,0.8294314381270903,0.9183673469387755,0.9121621621621622,0.9152542372881356,0.9961491338735504,0.9712915843090161,2787,294,2785,296,300,,1,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.7899999999999999,0.9,0.7682926829268293,0.8289473684210527,0.8758169934640523,0.9054054054054054,0.8903654485049833,0.9944053568829152,0.9544033587838775,2775,306,2785,296,500,12.0,1,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.82,0.8992805755395683,0.7621951219512195,0.8250825082508251,0.91,0.9222972972972973,0.9161073825503355,0.9960903003542142,0.9711910814702597,2781,300,2785,296,300,20.0,1,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.82,0.8978102189781022,0.75,0.8172757475083057,0.903010033444816,0.9121621621621622,0.907563025210084,0.996052088893202,0.9712250963207112,2782,299,2785,296,500,,1,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.82,0.9037037037037037,0.7439024390243902,0.8160535117056856,0.9087837837837838,0.9087837837837838,0.9087837837837838,0.9959447328836917,0.9706967437883698,2785,296,2785,296,500,20.0,1,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.7899999999999999,0.8671328671328671,0.7560975609756098,0.8078175895765473,0.8498402555910544,0.8986486486486487,0.8735632183908046,0.9934725120093162,0.9484099287574786,2768,313,2785,296,300,12.0,1,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.957983193277311,0.6951219512195121,0.8056537102473498,0.9712918660287081,0.6858108108108109,0.803960396039604,0.9938267261875879,0.9542959051284124,2872,209,2785,296,500,,2,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8699999999999999,0.957983193277311,0.6951219512195121,0.8056537102473498,0.9666666666666667,0.6858108108108109,0.8023715415019763,0.9937284681449853,0.9534573409762446,2871,210,2785,296,500,20.0,2,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8099999999999999,0.8503401360544217,0.7621951219512195,0.8038585209003215,0.8501628664495114,0.8817567567567568,0.8656716417910447,0.9932602261148042,0.9505546481426908,2774,307,2785,296,300,20.0,2,sqrt,"{0: 1, 1: 2}"
Masking Diffusion,1000,Best F1 on real validation_windows only.,0.8499999999999999,0.928,0.7073170731707317,0.8027681660899654,0.9606986899563319,0.7432432432432432,0.8380952380952381,0.9933427143481002,0.9509869650673471,2852,229,2785,296,300,,2,sqrt,"{0: 1, 1: 2}"
