method,model,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_train_rows,threshold_strategy,target_recall,fbeta_beta,threshold_selected_on_real_validation,validation_precision,validation_recall,validation_f1,validation_f2,validation_recall_target_met,precision,recall,f1,f2,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly
Masking Diffusion,RandomForestClassifier,5000,247,1000,6247,best_validation_f2,,2.0,0.7899999999999999,0.5909090909090909,0.7926829268292683,0.6770833333333334,0.7420091324200914,False,0.5957446808510638,0.9459459459459459,0.7310704960835509,0.8464328899637243,0.9901171818137706,0.9376153124117789,2611,470,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,500,5747,best_validation_f2,,2.0,0.7799999999999999,0.49624060150375937,0.8048780487804879,0.6139534883720931,0.7158351409978309,False,0.5135135135135135,0.9628378378378378,0.6698002350176263,0.81943645773433,0.9854711533795915,0.9141814621906365,2526,555,2785,296
Diffusion,RandomForestClassifier,5000,247,200,5447,best_validation_f2,,2.0,0.8499999999999999,0.6069651741293532,0.7439024390243902,0.6684931506849315,0.7117852975495916,False,0.6227390180878553,0.8141891891891891,0.705710102489019,0.7670273711012094,0.9745754282109758,0.8534124543905273,2694,387,2785,296
Diffusion,RandomForestClassifier,5000,247,1000,6247,best_validation_f2,,2.0,0.8499999999999999,0.8740740740740741,0.7195121951219512,0.7892976588628763,0.7458912768647282,False,0.8378378378378378,0.7331081081081081,0.781981981981982,0.7519057519057519,0.9803447522926876,0.8808848032410515,2822,259,2785,296
Diffusion,RandomForestClassifier,5000,247,500,5747,best_validation_f2,,2.0,0.8599999999999999,0.7212121212121212,0.725609756097561,0.723404255319149,0.7247259439707674,False,0.7053291536050157,0.7601351351351351,0.7317073170731707,0.7485029940119761,0.9750036391867631,0.8530467756071201,2762,319,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,200,5447,best_validation_f2,,2.0,0.9099999999999999,0.981651376146789,0.6524390243902439,0.7838827838827839,0.6993464052287581,False,0.9837837837837838,0.6148648648648649,0.7567567567567568,0.664718772826881,0.9737020233878403,0.8618471734091111,2896,185,2785,296
Real anomaly only,RandomForestClassifier,5000,247,0,5247,best_validation_f2,,2.0,0.61,0.3425925925925926,0.9024390243902439,0.4966442953020134,0.6801470588235294,True,0.26618705035971224,1.0,0.42045454545454547,0.6445993031358885,0.9589038769469649,0.7999127147413424,1969,1112,2785,296
GT-GAN,RandomForestClassifier,5000,247,1000,6247,best_validation_f2,,2.0,0.5199999999999999,0.34120171673819744,0.9695121951219512,0.5047619047619047,0.7085561497326203,True,0.2573913043478261,1.0,0.4094052558782849,0.6341045415595544,0.9780823911883159,0.8678581393690823,1931,1150,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,1000,6247,best_validation_f2,,2.0,0.57,0.3347457627118644,0.9634146341463414,0.4968553459119497,0.700354609929078,True,0.2538593481989708,1.0,0.4049247606019152,0.6297872340425532,0.9722669707409384,0.8718184141818591,1915,1166,2785,296
GT-GAN,RandomForestClassifier,5000,247,200,5447,best_validation_f2,,2.0,0.5399999999999999,0.32916666666666666,0.9634146341463414,0.4906832298136646,0.6954225352112676,True,0.23987034035656402,1.0,0.3869281045751634,0.6120760959470637,0.9683536319083896,0.8310237846831102,1847,1234,2785,296
GT-GAN,RandomForestClassifier,5000,247,500,5747,best_validation_f2,,2.0,0.49999999999999994,0.3252032520325203,0.975609756097561,0.4878048780487805,0.6968641114982579,True,0.2287480680061824,1.0,0.3723270440251572,0.5972558514931396,0.972863797370081,0.8531127242127801,1787,1294,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,50,5297,best_validation_f2,,2.0,0.5499999999999999,0.3203285420944558,0.9512195121951219,0.4792626728110599,0.6824146981627297,True,0.2275172943889316,1.0,0.3706950532247965,0.5955734406438632,0.9627298752972002,0.8237192227451523,1780,1301,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,500,5747,best_validation_f2,,2.0,0.5199999999999999,0.3155818540433925,0.975609756097561,0.47690014903129657,0.6878761822871883,True,0.2237339380196523,1.0,0.3656578134651019,0.5903470283207021,0.9666116745111359,0.8613226390530063,1758,1323,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,50,5297,best_validation_f2,,2.0,0.5299999999999999,0.32323232323232326,0.975609756097561,0.48558421851289835,0.6950477845351868,True,0.22305953278070836,1.0,0.3647566235366605,0.5894066109119872,0.9642753166092485,0.8243421754637776,1754,1327,2785,296
Diffusion,RandomForestClassifier,5000,247,100,5347,best_validation_f2,,2.0,0.5299999999999999,0.3212121212121212,0.9695121951219512,0.48254931714719274,0.6907037358818419,True,0.21974758723088345,1.0,0.3603164942178941,0.584749111023311,0.9637900917075064,0.799128223013196,1734,1347,2785,296
GT-GAN,RandomForestClassifier,5000,247,50,5297,best_validation_f2,,2.0,0.49999999999999994,0.3207920792079208,0.9878048780487805,0.484304932735426,0.6976744186046512,True,0.21877309682187732,1.0,0.3590054578532444,0.5833661805281829,0.9678768984424281,0.8380086061919345,1728,1353,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,200,5447,best_validation_f2,,2.0,0.5099999999999999,0.3150684931506849,0.9817073170731707,0.47703703703703704,0.689802913453299,True,0.21812822402358142,1.0,0.35813672111312767,0.5824478551751279,0.9617424426221554,0.8343601198642548,1724,1357,2785,296
GT-GAN,RandomForestClassifier,5000,247,100,5347,best_validation_f2,,2.0,0.48999999999999994,0.3166023166023166,1.0,0.4809384164222874,0.6984667802385008,True,0.21464829586656997,1.0,0.3534328358208955,0.5774483027701912,0.9652506186617497,0.8223917782532473,1702,1379,2785,296
