method,model,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_train_rows,threshold_strategy,target_recall,fbeta_beta,threshold_selected_on_real_validation,validation_precision,validation_recall,validation_f1,validation_f2,validation_recall_target_met,precision,recall,f1,f2,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly
Masking Diffusion,RandomForestClassifier,5000,247,1000,6247,best_validation_f1,,,0.8699999999999999,0.9487179487179487,0.676829268292683,0.7900355871886121,0.7179818887451488,False,0.9617021276595744,0.7635135135135135,0.8512241054613936,0.7963354474982381,0.9901171818137706,0.9376153124117789,2846,235,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,1000,6247,best_validation_f1,,,0.8999999999999999,0.9292035398230089,0.6402439024390244,0.7581227436823105,0.682704811443433,False,0.9464285714285714,0.7162162162162162,0.8153846153846154,0.7528409090909091,0.9722669707409384,0.871818414181859,2857,224,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,500,5747,best_validation_f1,,,0.8899999999999999,0.9642857142857143,0.6585365853658537,0.782608695652174,0.703125,False,0.9715639810426541,0.6925675675675675,0.8086785009861933,0.7347670250896058,0.9854711533795915,0.9141814621906366,2870,211,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,500,5747,best_validation_f1,,,0.8999999999999999,0.859504132231405,0.6341463414634146,0.7298245614035088,0.6692406692406693,False,0.9029535864978903,0.722972972972973,0.8030018761726079,0.752990851513019,0.9666116745111359,0.8613226390530063,2844,237,2785,296
Diffusion,RandomForestClassifier,5000,247,1000,6247,best_validation_f1,,,0.8499999999999999,0.8740740740740741,0.7195121951219512,0.7892976588628763,0.7458912768647282,False,0.8378378378378378,0.7331081081081081,0.781981981981982,0.7519057519057519,0.9803447522926876,0.8808848032410515,2822,259,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,200,5447,best_validation_f1,,,0.9099999999999999,0.911504424778761,0.6280487804878049,0.7436823104693141,0.6697009102730819,False,0.9124423963133641,0.668918918918919,0.7719298245614035,0.7066381156316917,0.9617424426221554,0.834360119864255,2864,217,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,200,5447,best_validation_f1,,,0.9099999999999999,0.981651376146789,0.6524390243902439,0.7838827838827839,0.6993464052287581,False,0.9837837837837838,0.6148648648648649,0.7567567567567568,0.664718772826881,0.9737020233878403,0.8618471734091111,2896,185,2785,296
GT-GAN,RandomForestClassifier,5000,247,500,5747,best_validation_f1,,,0.8899999999999999,0.99,0.6036585365853658,0.75,0.6547619047619048,False,0.9728260869565217,0.6047297297297297,0.7458333333333333,0.6542397660818714,0.972863797370081,0.8531127242127801,2897,184,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,100,5347,best_validation_f1,,,0.9099999999999999,0.896551724137931,0.6341463414634146,0.7428571428571429,0.6735751295336787,False,0.875,0.6385135135135135,0.73828125,0.675,0.9598379348828182,0.817751649961149,2865,216,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,100,5347,best_validation_f1,,,0.8999999999999999,0.8387096774193549,0.6341463414634146,0.7222222222222222,0.6666666666666666,False,0.8636363636363636,0.6418918918918919,0.7364341085271318,0.6766381766381766,0.9685368043087971,0.8355224225647387,2861,220,2785,296
GT-GAN,RandomForestClassifier,5000,247,50,5297,best_validation_f1,,,0.9099999999999999,0.9528301886792453,0.6158536585365854,0.7481481481481481,0.6627296587926509,False,0.9722222222222222,0.5912162162162162,0.7352941176470589,0.6414956011730205,0.9678768984424281,0.8380086061919345,2901,180,2785,296
Diffusion,RandomForestClassifier,5000,247,500,5747,best_validation_f1,,,0.8899999999999999,0.9166666666666666,0.6707317073170732,0.7746478873239436,0.7087628865979382,False,0.8697674418604651,0.6317567567567568,0.7318982387475538,0.6683345246604717,0.9750036391867631,0.8530467756071201,2866,215,2785,296
Masking Diffusion,RandomForestClassifier,5000,247,50,5297,best_validation_f1,,,0.9099999999999999,0.9795918367346939,0.5853658536585366,0.732824427480916,0.636604774535809,False,0.9361702127659575,0.5945945945945946,0.7272727272727273,0.641399416909621,0.9642753166092485,0.8243421754637776,2893,188,2785,296
GT-GAN,RandomForestClassifier,5000,247,1000,6247,best_validation_f1,,,0.8699999999999999,0.908256880733945,0.6036585365853658,0.7252747252747253,0.6470588235294118,False,0.9312169312169312,0.5945945945945946,0.7257731958762886,0.6409322651128915,0.9780823911883159,0.8678581393690823,2892,189,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,50,5297,best_validation_f1,,,0.9199999999999999,0.9509803921568627,0.5914634146341463,0.7293233082706767,0.6398416886543535,False,0.95,0.5777027027027027,0.7184873949579832,0.6268328445747801,0.9627298752972002,0.8237192227451523,2901,180,2785,296
Real anomaly only,RandomForestClassifier,5000,247,0,5247,best_validation_f1,,,0.9099999999999999,0.8803418803418803,0.6280487804878049,0.7330960854092526,0.666235446313066,False,0.8551401869158879,0.6182432432432432,0.7176470588235294,0.6545064377682404,0.9589038769469649,0.7999127147413426,2867,214,2785,296
GT-GAN,RandomForestClassifier,5000,247,100,5347,best_validation_f1,,,0.9099999999999999,0.8839285714285714,0.6036585365853658,0.717391304347826,0.64453125,False,0.9010416666666666,0.5844594594594594,0.7090163934426229,0.6286337209302325,0.9652506186617497,0.8223917782532473,2889,192,2785,296
GT-GAN,RandomForestClassifier,5000,247,200,5447,best_validation_f1,,,0.9099999999999999,0.9158878504672897,0.5975609756097561,0.7232472324723247,0.6422018348623854,False,0.9482758620689655,0.5574324324324325,0.7021276595744681,0.6075110456553755,0.9683536319083896,0.8310237846831102,2907,174,2785,296
Diffusion,RandomForestClassifier,5000,247,200,5447,best_validation_f1,,,0.9099999999999999,0.9795918367346939,0.5853658536585366,0.732824427480916,0.636604774535809,False,0.9425287356321839,0.5540540540540541,0.6978723404255319,0.6038291605301914,0.9745754282109758,0.8534124543905273,2907,174,2785,296
Diffusion,RandomForestClassifier,5000,247,50,5297,best_validation_f1,,,0.9199999999999999,0.9789473684210527,0.5670731707317073,0.7181467181467182,0.6191744340878829,False,0.9808917197452229,0.5202702702702703,0.6799116997792495,0.5741983594332588,0.964304430103353,0.8208603969974243,2924,157,2785,296
Diffusion,RandomForestClassifier,5000,247,100,5347,best_validation_f1,,,0.9099999999999999,0.8571428571428571,0.5853658536585366,0.6956521739130435,0.625,False,0.888268156424581,0.5371621621621622,0.6694736842105263,0.5832721936903889,0.9637900917075064,0.799128223013196,2902,179,2785,296
