method,model,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_train_rows,threshold_strategy,target_recall,fbeta_beta,threshold_selected_on_real_validation,validation_precision,validation_recall,validation_f1,validation_f2,validation_recall_target_met,precision,recall,f1,f2,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly
Masking Diffusion,RandomForestClassifier,5000,247,1000,6247,recall90_precision,0.9,,0.6499999999999999,0.39050131926121373,0.9024390243902439,0.5451197053406999,0.714975845410628,True,0.351961950059453,1.0,0.5206684256816183,0.7308641975308642,0.9901171818137706,0.9376153124117789,2240,841,2785,296
GT-GAN,RandomForestClassifier,5000,247,1000,6247,recall90_precision,0.9,,0.58,0.36319612590799033,0.9146341463414634,0.5199306759098787,0.7015902712815716,True,0.3045267489711934,1.0,0.4668769716088328,0.686456400742115,0.9780823911883159,0.8678581393690823,2109,972,2785,296
GT-GAN,RandomForestClassifier,5000,247,500,5747,recall90_precision,0.9,,0.6,0.35141509433962265,0.9085365853658537,0.5068027210884354,0.6898148148148148,True,0.2957042957042957,1.0,0.456437933693138,0.6773455377574371,0.972863797370081,0.8531127242127801,2080,1001,2785,296
Diffusion,RandomForestClassifier,5000,247,1000,6247,recall90_precision,0.9,,0.59,0.3433179723502304,0.9085365853658537,0.4983277591973244,0.6834862385321101,True,0.2840690978886756,1.0,0.44245142002989535,0.6648697214734951,0.9803447522926876,0.8808848032410515,2039,1042,2785,296
GT-GAN,RandomForestClassifier,5000,247,200,5447,recall90_precision,0.9,,0.61,0.3418013856812933,0.9024390243902439,0.49581239530988275,0.6795224977043158,True,0.2808349146110057,1.0,0.43851851851851853,0.6613047363717605,0.9683536319083896,0.8310237846831102,2027,1054,2785,296
GT-GAN,RandomForestClassifier,5000,247,50,5297,recall90_precision,0.9,,0.61,0.3441108545034642,0.9085365853658537,0.4991624790619765,0.6841138659320477,True,0.2753488372093023,1.0,0.43180160466812545,0.6551571491810536,0.9678768984424281,0.8380086061919345,2006,1075,2785,296
GT-GAN,RandomForestClassifier,5000,247,100,5347,recall90_precision,0.9,,0.6,0.3448275862068966,0.9146341463414634,0.5008347245409015,0.687442713107241,True,0.274582560296846,1.0,0.43085880640465796,0.654288240495137,0.9652506186617497,0.8223917782532473,2003,1078,2785,296
Masking GT-GAN,RandomForestClassifier,5000,247,1000,6247,recall90_precision,0.9,,0.61,0.3416856492027335,0.9146341463414634,0.4975124378109453,0.684931506849315,True,0.2738205365402405,1.0,0.429920116194626,0.6534216335540839,0.9722669707409384,0.871818414181859,2000,1081,2785,296
Real anomaly only,RandomForestClassifier,5000,247,0,5247,recall90_precision,0.9,,0.61,0.3425925925925926,0.9024390243902439,0.4966442953020134,0.6801470588235294,True,0.26618705035971224,1.0,0.42045454545454547,0.6445993031358885,0.9589038769469649,0.7999127147413424,1969,1112,2785,296
Diffusion,RandomForestClassifier,5000,247,500,5747,recall90_precision,0.9,,0.6,0.33183856502242154,0.9024390243902439,0.4852459016393443,0.6715063520871143,True,0.26570915619389585,1.0,0.4198581560283688,0.6440382941688425,0.9750036391867631,0.8530467756071201,1967,1114,2785,296
