condition,augmentation_family,method,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,total_train_rows,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly
balanced,generative,Masking Diffusion,1247,247,1000,1247,1.0,2494,0.94,0.6455696202531646,0.6219512195121951,0.6335403726708074,0.6265356265356266,0.5735735735735735,0.6452702702702703,0.6073131955484896,0.6295319709953856,0.9417293415498083,0.7298402634301948,2748,333,2785,296
balanced,generative_filtered,Filtered@900 GT-GAN,1147,247,900,1147,1.0,2294,0.9199999999999999,0.6413793103448275,0.5670731707317073,0.6019417475728155,0.5805243445692884,0.6885245901639344,0.5675675675675675,0.6222222222222222,0.5882352941176471,0.9312594012324713,0.6709654595449679,2837,244,2785,296
balanced,generative_hybrid,Hybrid ScoreFiltered@750 Masking Diffusion + Weak Magnitude,997,247,750,997,1.0,1994,0.8699999999999999,0.49382716049382713,0.7317073170731707,0.5896805896805897,0.6674082313681868,0.37949640287769787,0.7128378378378378,0.4953051643192488,0.6063218390804598,0.9274673686253578,0.6161891913347783,2525,556,2785,296
balanced,generative_score_filtered,ScoreFiltered@750 Diffusion,997,247,750,997,1.0,1994,0.9099999999999999,0.6390532544378699,0.6585365853658537,0.6486486486486487,0.6545454545454545,0.5501355013550135,0.6858108108108109,0.6105263157894737,0.6535737282678686,0.9330911252365472,0.6802705785174967,2712,369,2785,296
balanced,none,Original only,247,247,0,247,1.0,494,0.95,0.32908163265306123,0.7865853658536586,0.46402877697841727,0.6154580152671756,0.23930753564154786,0.793918918918919,0.3677621283255086,0.5424746075715605,0.8382339026638848,0.35142136970326554,2099,982,2785,296
balanced,traditional,Frequency domain,1247,247,1000,1247,1.0,2494,0.8999999999999999,0.7315436241610739,0.6646341463414634,0.6964856230031949,0.6770186335403726,0.697594501718213,0.6858108108108109,0.6916524701873935,0.688135593220339,0.954159590470183,0.7290124440644902,2790,291,2785,296
imbalanced,generative,Masking Diffusion,5000,247,1000,1247,4.0096230954290295,6247,0.8799999999999999,1.0,0.676829268292683,0.8072727272727273,0.7235984354628422,1.0,0.7162162162162162,0.8346456692913385,0.7593123209169055,0.993303896355961,0.9555276534878161,2869,212,2785,296
imbalanced,generative_filtered,Filtered@750 Masking Diffusion,5000,247,750,997,5.015045135406218,5997,0.8499999999999999,0.92,0.7012195121951219,0.7958477508650519,0.736235595390525,0.952755905511811,0.8175675675675675,0.88,0.8414464534075105,0.9906885341355718,0.9438169426568735,2827,254,2785,296
imbalanced,generative_hybrid,Hybrid ScoreFiltered@750 Masking Diffusion + Weak Magnitude,5000,247,750,997,5.015045135406218,5997,0.8699999999999999,0.9727272727272728,0.6524390243902439,0.781021897810219,0.6984334203655352,0.9948979591836735,0.6587837837837838,0.7926829268292683,0.7065217391304348,0.988685768353632,0.9259513380027946,2885,196,2785,296
imbalanced,generative_score_filtered,ScoreFiltered@900 Masking Diffusion,5000,247,900,1147,4.3591979075850045,6147,0.8799999999999999,0.9152542372881356,0.6585365853658537,0.7659574468085106,0.6976744186046512,0.9264069264069265,0.722972972972973,0.8121442125237192,0.7561837455830389,0.9864670774904167,0.9180326923017252,2850,231,2785,296
imbalanced,none,Original only,5000,247,0,247,20.242914979757085,5247,0.9099999999999999,0.9134615384615384,0.5792682926829268,0.7089552238805971,0.625,0.9226519337016574,0.5641891891891891,0.70020964360587,0.6117216117216118,0.9605281673055461,0.8099188711307705,2900,181,2785,296
imbalanced,traditional,Magnitude warping,5000,247,1000,1247,4.0096230954290295,6247,0.82,0.8976377952755905,0.6951219512195121,0.7835051546391752,0.7279693486590039,0.964,0.8141891891891891,0.8827838827838828,0.8403068340306834,0.9941954971129118,0.9589535437014025,2831,250,2785,296
