method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive,anomaly_seed_count
Original only,none,200,5000,25,0,25,200.0,0.3,0.4666666666666667,0.5548780487804879,0.5069637883008357,0.3238512035010941,0.5,0.3930942895086321,0.4509445460085314,0.767879931098064,0.30191967529952835,457,148,309,25
Magnitude warping,traditional,200,5000,25,1000,1025,4.878048780487805,0.4499999999999999,0.9885057471264368,0.524390243902439,0.6852589641434262,0.9787234042553191,0.46621621621621623,0.631578947368421,0.5207547169811321,0.9119862681352807,0.6692028808328404,141,158,3,25
Filtered@750 Masking Diffusion,generative_filtered,200,5000,25,750,775,6.451612903225806,0.61,0.865979381443299,0.5121951219512195,0.6436781609195402,0.6666666666666666,0.4594594594594595,0.544,0.4899135446685879,0.8843090397399195,0.602643492359295,204,160,68,25
Original only,none,201,5000,25,0,25,200.0,0.25999999999999995,0.384297520661157,0.5670731707317073,0.458128078817734,0.26498422712933756,0.5675675675675675,0.36129032258064514,0.46204620462046203,0.7851314959483722,0.33909355028314486,634,128,466,25
Magnitude warping,traditional,201,5000,25,1000,1025,4.878048780487805,0.4699999999999999,1.0,0.5121951219512195,0.6774193548387096,0.9795918367346939,0.4864864864864865,0.6501128668171557,0.540946656649136,0.9049104760056286,0.6852562640764912,147,152,3,25
Filtered@750 Masking Diffusion,generative_filtered,201,5000,25,750,775,6.451612903225806,0.57,0.7636363636363637,0.5121951219512195,0.6131386861313869,0.6435185185185185,0.46959459459459457,0.54296875,0.49642857142857144,0.8792141782716288,0.6162570795274273,216,157,77,25
Original only,none,202,5000,25,0,25,200.0,0.33999999999999997,0.5197368421052632,0.4817073170731707,0.5,0.3935860058309038,0.4560810810810811,0.4225352112676056,0.44204322200392926,0.7770919258576351,0.3215759152313878,343,161,208,25
Magnitude warping,traditional,202,5000,25,1000,1025,4.878048780487805,0.4499999999999999,0.9545454545454546,0.5121951219512195,0.6666666666666666,0.8092485549132948,0.47297297297297297,0.5970149253731343,0.5158437730287398,0.9148685040516279,0.6657234058659209,173,156,33,25
Filtered@750 Masking Diffusion,generative_filtered,202,5000,25,750,775,6.451612903225806,0.6499999999999999,0.8426966292134831,0.4573170731707317,0.5928853754940712,0.6829268292682927,0.3783783783783784,0.48695652173913045,0.41543026706231456,0.8664539764180696,0.5898987409099856,164,184,52,25
Original only,none,203,5000,25,0,25,200.0,0.21999999999999997,0.3759124087591241,0.6280487804878049,0.4703196347031963,0.24585635359116023,0.6013513513513513,0.34901960784313724,0.46645702306079667,0.771534281139308,0.29532086358928716,724,118,546,25
Magnitude warping,traditional,203,5000,25,1000,1025,4.878048780487805,0.38999999999999996,0.8425925925925926,0.5548780487804879,0.6691176470588235,0.7465437788018433,0.5472972972972973,0.631578947368421,0.5781584582441114,0.8986935319520597,0.6699991971005786,217,134,55,25
Filtered@750 Masking Diffusion,generative_filtered,203,5000,25,750,775,6.451612903225806,0.6,0.8494623655913979,0.4817073170731707,0.6147859922178989,0.6785714285714286,0.44932432432432434,0.540650406504065,0.48188405797101447,0.8770391576495705,0.6017055603215349,196,163,63,25
