anomaly_seed_count,method,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,auprc_mean,auprc_std,auprc_min,auprc_max,false_negative_mean,false_negative_std,false_negative_min,false_negative_max
25,Filtered@750 Masking Diffusion,0.6284905347588274,0.08948557587747774,0.4707692307692308,0.6829268292682927,0.45472972972972975,0.049915469085785945,0.3783783783783784,0.5168918918918919,0.5214658602863202,0.028954686746649992,0.48695652173913045,0.544,0.47812293832550123,0.036228810635917,0.41543026706231456,0.5069582504970179,0.5952541746559332,0.018944507857123614,0.5657660001614234,0.6162570795274273,161.4,14.774978849392646,143,184
25,Magnitude warping,0.8445606453758128,0.12801036555053266,0.7086956521739131,0.9795918367346939,0.5047297297297297,0.04107196733899762,0.46621621621621623,0.5506756756756757,0.6260115100090006,0.019510274417387705,0.5970149253731343,0.6501128668171557,0.5464165342762392,0.029700358716553583,0.5158437730287398,0.5781584582441114,0.6730599951384522,0.007600273931160223,0.6657234058659209,0.6852562640764912,146.6,12.157302332343306,133,158
25,Original only,0.295790328899987,0.06290731510172094,0.24585635359116023,0.3935860058309038,0.5506756756756757,0.07142694091846612,0.4560810810810811,0.6283783783783784,0.3768641868180387,0.03044968857957257,0.34901960784313724,0.4225352112676056,0.46087140786148534,0.015567485469616652,0.44204322200392926,0.48286604361370716,0.3162822473077612,0.017650462370343727,0.29532086358928716,0.33909355028314486,133.0,21.142374511865974,110,161
50,Filtered@750 Masking Diffusion,0.5352261083008636,0.13336267831447332,0.42016806722689076,0.7442922374429224,0.6506756756756756,0.07639170184666622,0.5506756756756757,0.7601351351351351,0.5744336168899875,0.053215376383937134,0.5181347150259067,0.6330097087378641,0.6143987013977025,0.04231828994863948,0.578125,0.6801692865779927,0.6545354085059538,0.03890787083646654,0.599699185042109,0.6968017357025531,103.4,22.611943746613203,71,133
50,Magnitude warping,0.7775575514688688,0.07389374247288534,0.6992481203007519,0.8870967741935484,0.6236486486486487,0.04561436393532472,0.5574324324324325,0.6858108108108109,0.6893636984391621,0.030470837600204376,0.6619217081850534,0.7408759124087592,0.6479382981224567,0.03750419007607845,0.6021897810218978,0.7068245125348189,0.7441739746050103,0.024885950615643554,0.7103739850323366,0.7765183992708543,111.4,13.501851724856115,93,131
50,Original only,0.28948872783853064,0.030956732014803555,0.24742268041237114,0.3191126279863481,0.6844594594594595,0.06359073798622966,0.6317567567567568,0.7736486486486487,0.4044924334520316,0.023302840497000196,0.369546621043627,0.42761692650334077,0.534131924108152,0.01897642588852079,0.5149863760217984,0.5648741983226443,0.40665521695876555,0.030777336711508025,0.37689402247844256,0.4402114424089617,93.4,18.822858443923973,67,109
100,Filtered@750 Masking Diffusion,0.7931964560017556,0.1181293341348822,0.6559139784946236,0.9548387096774194,0.5533783783783784,0.06978620957954307,0.4594594594594595,0.6182432432432432,0.6434700346414526,0.03339140077965539,0.5964912280701754,0.6884615384615385,0.5850005262318804,0.05456173823398505,0.5059523809523809,0.6356534090909091,0.7391171867154464,0.021213687305130666,0.722808523351978,0.7716470635852871,132.2,20.656718035544753,113,160
100,Magnitude warping,0.836958579573922,0.08510286469622287,0.7607843137254902,0.9790575916230366,0.652027027027027,0.027549841943074464,0.6216216216216216,0.6925675675675675,0.7306255471712083,0.02440271966962663,0.7041742286751361,0.7679671457905544,0.6809626991184417,0.019442442631040766,0.6557377049180327,0.7093425605536332,0.7989658114515368,0.015613136305871444,0.7808879789274918,0.8227628831445843,103.0,8.154753215150047,91,112
100,Original only,0.39349284378778726,0.14155409145216633,0.25395152792413067,0.5665024630541872,0.6277027027027027,0.1905027995975186,0.3885135135135135,0.8141891891891891,0.44286044567074256,0.03961698502581355,0.38714859437751004,0.4928571428571429,0.5216244575334504,0.07322979151629869,0.414563806777217,0.5848101265822785,0.5148093647647192,0.01518024989403109,0.49496421497863824,0.5308994900598392,110.2,56.3888286808655,55,181
150,Filtered@750 Masking Diffusion,0.8021366097792857,0.06698420202934392,0.6875,0.8528138528138528,0.6905405405405405,0.055799521140709706,0.6182432432432432,0.7702702702702703,0.7401430641659754,0.045060717644824035,0.6966666666666667,0.8056537102473498,0.70914833159617,0.04899249228891321,0.6480169971671388,0.7840440165061898,0.8232928968879196,0.036854354727376956,0.7764239562147154,0.860491779793317,91.6,16.516658257650064,68,113
150,Magnitude warping,0.8656719159797219,0.07032837785470517,0.756578947368421,0.9395161290322581,0.775,0.012775452973776387,0.7533783783783784,0.7871621621621622,0.8168095166362033,0.0351597495648401,0.7666666666666667,0.8566176470588235,0.7909753993132121,0.018450553307593678,0.7710926694329184,0.8135474860335196,0.873794214905222,0.029909259984582888,0.8229360338485416,0.89721685062268,66.6,3.781534080237806,63,73
150,Original only,0.6698427071699756,0.14039525899456817,0.5408805031446541,0.8489208633093526,0.5101351351351351,0.08233822707401313,0.39864864864864863,0.581081081081081,0.5643523746749907,0.026704650325275393,0.5414551607445008,0.6067019400352733,0.5283269494923617,0.05962336694970814,0.4459561602418745,0.5910652920962199,0.6386734549166235,0.03968649676019416,0.5741867350090201,0.6767903263350346,145.0,24.372115213907882,124,178
247,Filtered@750 Masking Diffusion,0.8871382767218197,0.0501514319966678,0.8310344827586207,0.9385245901639344,0.7513513513513513,0.06158478925309747,0.6824324324324325,0.8141891891891891,0.8119232367400313,0.04100211242210907,0.7555555555555555,0.8489208633093526,0.774134061720552,0.05249907699451342,0.7142857142857143,0.8175033921302578,0.9072087329973361,0.034746299059414135,0.8467733014978637,0.9337101992436472,73.6,18.22909761891685,55,94
247,Magnitude warping,0.938584894814934,0.031039527741642127,0.9176470588235294,0.9908256880733946,0.775,0.02781782277059311,0.7297297297297297,0.7972972972972973,0.8482588126092679,0.01001437515508989,0.8360957642725598,0.8602941176470589,0.8026055847444786,0.020811524465170685,0.7703281027104137,0.8194444444444444,0.949156519053625,0.00821828647180123,0.9398827805521751,0.9588433935691428,66.6,8.234075540095562,60,80
247,Original only,0.8019546113014673,0.08334400262481513,0.7106227106227107,0.9157894736842105,0.6297297297297297,0.028326045697641324,0.5878378378378378,0.6554054054054054,0.7024991134553671,0.015656263824553505,0.6818980667838312,0.7190569744597249,0.656457455876271,0.015224805744004002,0.6331877729257642,0.6736111111111112,0.7941643029118108,0.009277591588299244,0.7851062057265308,0.8065547072373102,109.6,8.384509526501832,102,122
