method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive
Original only,none,100,5000,247,0,247,20.242914979757085,0.9099999999999999,0.8062015503875969,0.6341463414634146,0.7098976109215017,0.8522167487684729,0.5844594594594594,0.6933867735470942,0.6236481614996395,0.9550002426124509,0.7766584890567292,203,123,30
Magnitude warping,traditional,100,5000,247,1000,1247,4.0096230954290295,0.8099999999999999,0.8759124087591241,0.7317073170731707,0.7973421926910299,0.903114186851211,0.8817567567567568,0.8923076923076924,0.8859470468431772,0.9951428987335629,0.9573383098551848,289,35,28
Masking Diffusion,generative,100,5000,247,1000,1247,4.0096230954290295,0.8999999999999999,0.990990990990991,0.6707317073170732,0.8,0.9898477157360406,0.6587837837837838,0.7910750507099391,0.7060101375814627,0.9920896210393517,0.9434546924739347,197,101,2
Filtered@750 Masking Diffusion,generative_filtered,100,5000,247,750,997,5.015045135406218,0.8899999999999999,1.0,0.6341463414634146,0.7761194029850746,1.0,0.6418918918918919,0.7818930041152263,0.6914119359534207,0.9880622543548935,0.9231814874282713,190,106,0
Original only,none,101,5000,247,0,247,20.242914979757085,0.9099999999999999,0.7936507936507936,0.6097560975609756,0.6896551724137931,0.8199052132701422,0.5844594594594594,0.6824457593688363,0.6200716845878136,0.9565723712940948,0.7834092898806588,211,123,38
Magnitude warping,traditional,101,5000,247,1000,1247,4.0096230954290295,0.82,0.9365079365079365,0.7195121951219512,0.8137931034482758,0.94140625,0.8141891891891891,0.8731884057971014,0.8368055555555556,0.994808093551361,0.9591573988431498,256,55,15
Masking Diffusion,generative,101,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.923728813559322,0.6646341463414634,0.7730496453900709,0.9068825910931174,0.7567567567567568,0.8250460405156538,0.782669461914745,0.9896113348537047,0.9202848524697045,247,72,23
Filtered@750 Masking Diffusion,generative_filtered,101,5000,247,750,997,5.015045135406218,0.8599999999999999,0.859375,0.6707317073170732,0.7534246575342466,0.8171641791044776,0.7398648648648649,0.776595744680851,0.7541322314049587,0.9861892862341695,0.8869219812473293,268,77,49
Original only,none,102,5000,247,0,247,20.242914979757085,0.8999999999999999,0.7266187050359713,0.6158536585365854,0.6666666666666666,0.7782426778242678,0.6283783783783784,0.6953271028037383,0.6535488404778637,0.9582827890727352,0.7934841812950544,239,110,53
Magnitude warping,traditional,102,5000,247,1000,1247,4.0096230954290295,0.83,0.8863636363636364,0.7134146341463414,0.7905405405405406,0.8776978417266187,0.8243243243243243,0.8501742160278746,0.8344733242134063,0.9917572419816585,0.9425045027755826,278,52,34
Masking Diffusion,generative,102,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.8769230769230769,0.6951219512195121,0.7755102040816326,0.916,0.7736486486486487,0.8388278388278388,0.798465829846583,0.9866138580231938,0.9200609199921334,250,67,21
Filtered@750 Masking Diffusion,generative_filtered,102,5000,247,750,997,5.015045135406218,0.8899999999999999,0.832,0.6341463414634146,0.7197231833910035,0.8427947598253275,0.652027027027027,0.7352380952380952,0.6829440905874027,0.9825452472220875,0.877338758144521,229,103,36
