method,augmentation_family,seed,generated_anomaly_used,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auprc,false_negative,false_positive
Original only,none,42,0,0.05,0.1796276013143483,1.0,0.3045496750232126,0.1177875049741345,1.0,0.21075115699537203,0.4003245875033811,0.8099188711307705,0,2217
Original only,none,42,0,0.06,0.18385650224215247,1.0,0.3106060606060606,0.12008113590263692,1.0,0.21441506700470844,0.4055905727596602,0.8099188711307705,0,2169
Original only,none,42,0,0.07,0.18510158013544017,1.0,0.31238095238095237,0.1221626083367726,1.0,0.21772710555351232,0.41031327973385084,0.8099188711307705,0,2127
Original only,none,42,0,0.08,0.18594104308390022,1.0,0.3135755258126195,0.1248945147679325,1.0,0.2220555138784696,0.41643218908272367,0.8099188711307705,0,2074
Original only,none,42,0,0.09,0.18785796105383734,1.0,0.3162970106075217,0.12665810868635002,1.0,0.224838587162932,0.4203351320647543,0.8099188711307705,0,2041
Original only,none,42,0,0.09999999999999999,0.1902552204176334,1.0,0.31968810916179335,0.1288076588337685,1.0,0.228218966846569,0.4250430786904078,0.8099188711307705,0,2002
Original only,none,42,0,0.10999999999999999,0.1920374707259953,1.0,0.32220039292730845,0.13068432671081678,1.0,0.23115970324092153,0.429109886923746,0.8099188711307705,0,1969
Original only,none,42,0,0.12,0.19547079856972585,1.0,0.3270189431704885,0.1322609472743521,1.0,0.23362273086029992,0.4324956165984804,0.8099188711307705,0,1942
Original only,none,42,0,0.13,0.2,1.0,0.3333333333333333,0.13448432530667878,1.0,0.23708450140168202,0.43722304283604135,0.8099188711307705,0,1905
Original only,none,42,0,0.13999999999999999,0.205,1.0,0.34024896265560167,0.13627992633517497,1.0,0.23987034035656402,0.4410011918951132,0.8099188711307705,0,1876
Original only,none,42,0,0.14999999999999997,0.20971867007672634,1.0,0.346723044397463,0.13805970149253732,1.0,0.24262295081967214,0.44471153846153844,0.8099188711307705,0,1848
Original only,none,42,0,0.15999999999999998,0.21409921671018275,1.0,0.35268817204301073,0.14008518693800284,1.0,0.24574512245745123,0.4488929329693661,0.8099188711307705,0,1817
Original only,none,42,0,0.16999999999999998,0.21808510638297873,1.0,0.35807860262008734,0.14169459071325993,1.0,0.2482180293501048,0.45218454017720744,0.8099188711307705,0,1793
Original only,none,42,0,0.18,0.2210242587601078,1.0,0.3620309050772627,0.14410905550146055,1.0,0.2519148936170213,0.4570722668313774,0.8099188711307705,0,1758
Original only,none,42,0,0.19,0.22496570644718794,1.0,0.3673012318029115,0.14574101427868044,1.0,0.25440481306403095,0.4603421461897356,0.8099188711307705,0,1735
Original only,none,42,0,0.19999999999999996,0.2274618585298197,1.0,0.3706214689265537,0.14755732801595214,1.0,0.2571676802780191,0.46394984326018807,0.8099188711307705,0,1710
Original only,none,42,0,0.20999999999999996,0.22777777777777777,1.0,0.37104072398190047,0.14934409687184663,1.0,0.2598770851624232,0.4674668351231838,0.8099188711307705,0,1686
Original only,none,42,0,0.21999999999999997,0.23098591549295774,1.0,0.37528604118993136,0.15033011681056374,1.0,0.26136865342163357,0.4693942277196321,0.8099188711307705,0,1673
Original only,none,42,0,0.22999999999999998,0.23229461756373937,1.0,0.37701149425287356,0.15163934426229508,1.0,0.26334519572953735,0.4719387755102041,0.8099188711307705,0,1656
Original only,none,42,0,0.24,0.23395149786019973,1.0,0.3791907514450867,0.1532884515794925,1.0,0.265828468792097,0.4751203852327448,0.8099188711307705,0,1635
Original only,none,42,0,0.24999999999999994,0.2342857142857143,1.0,0.37962962962962965,0.15456919060052218,1.0,0.2677521483491633,0.47757341077767024,0.8099188711307705,0,1619
Original only,none,42,0,0.25999999999999995,0.23665223665223664,1.0,0.38273045507584597,0.1555438780872307,1.0,0.2692132787630741,0.4794298671849692,0.8099188711307705,0,1607
Original only,none,42,0,0.26999999999999996,0.239067055393586,1.0,0.38588235294117645,0.1570291777188329,1.0,0.2714351215038973,0.4822417725643532,0.8099188711307705,0,1589
Original only,none,42,0,0.27999999999999997,0.24153166421207659,1.0,0.38908659549228947,0.15862808145766344,1.0,0.2738205365402405,0.4852459016393443,0.8099188711307705,0,1570
Original only,none,42,0,0.29,0.24477611940298508,1.0,0.3932853717026379,0.16034669555796316,1.0,0.27637721755368816,0.4884488448844885,0.8099188711307705,0,1550
Original only,none,42,0,0.3,0.24661654135338346,1.0,0.3956574185765983,0.16174863387978142,1.0,0.27845719661335844,0.49104180491041804,0.8099188711307705,0,1534
Original only,none,42,0,0.30999999999999994,0.2496194824961948,1.0,0.3995127892813642,0.16371681415929204,1.0,0.2813688212927757,0.4946524064171123,0.8099188711307705,0,1512
